項次,機關名稱,標案名稱,網址,公告日期,截止日期,金額
22,經濟部加工出口區管理處,加工出口區資訊加值及智慧製造輔導計畫,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364453,"106/12/11
","106/12/28
","
													
													
													
														
														
														9,000,000
																											
														
													
																									
												"
24,新北市政府採購處,107年新北市智慧型公車站牌看板採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364389,"106/12/11
","106/12/21
","
													
													
													
														
														
														25,750,000
																											
														
													
																									
												"
26,新竹縣關西鎮錦山國民小學,新竹縣關西鎮錦山國民小學106年辦理「國中小智慧學習試辦計畫」財物採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364152,"106/12/11
","106/12/18
","
													
													
													
														
														
														400,000
																											
														
													
																									
												"
28,經濟部水利署,107年水利防災視訊及水情影像智慧化維運管理與擴充,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52361629,"106/12/08
","107/01/08
","
													
													
													
														
														
														9,000,000
																											
														
													
																									
												"
30,高雄市立英明國民中學,國中小智慧學習試辦計畫設備建置財物採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52361776,"106/12/08
","106/12/18
","
													
													
													
														
														
														1,193,800
																											
														
													
																									
												"
32,桃園市政府青年事務局,106年安東青創基地網路系統、電腦及智慧觸控電子白板設置裝配採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52362911,"106/12/08
","106/12/18
","
													
													
													
														
														
														1,349,756
																											
														
													
																									
												"
34,行政院農業委員會畜產試驗所,智慧型哺育仔牛機組2組,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52355711,"106/12/07
","106/12/15
","
													
													
													
														
														
														2,800,000
																											
														
													
																									
												"
36,經濟部標準檢驗局,智慧電網驗證與應用技術研究暨再生能源第三方驗證推動辦公室計畫,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52359899,"106/12/07
","106/12/25
","
													
													
													
														
														
														19,500,000
																											
														
													
																									
												"
38,宜蘭縣政府,106年宜蘭縣智慧學習示範點建置案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52341658,"106/12/07
","106/12/18
","
													
													
													
														
														
														3,320,000
																											
														
													
																									
												"
40,國家運動訓練中心,106年度公西射擊基地購置槍枝彈藥庫智慧型倉儲系統設備1批案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357543,"106/12/06
","106/12/18
","
													
													
													
														
														
														5,911,450
																											
														
													
																									
												"
42,桃園市龍潭區雙龍國民小學,智慧學校數位學堂推動計畫,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357820,"106/12/06
","106/12/19
","
													
													
													
														
														
														1,650,000
																											
														
													
																									
												"
44,澎湖縣政府,106年度澎湖縣菓葉智慧健康園區整修工程,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52354932,"106/12/04
","106/12/15
","
													
													
													
														
														
														2,833,134
																											
														
													
																									
												"
46,桃園市桃園區中山國民小學,智慧型專科教室教學設備採購,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52354714,"106/12/04
","106/12/18
","
													
													
													
														
														
														2,034,000
																											
														
													
																									
												"
48,科技部,106-107年度「運用ICT技術發展智慧園區推動計畫」,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52350541,"106/11/30
","106/12/25
","
													
													
													
														
														
														28,666,000
																											
														
													
																									
												"
50,高雄市政府交通局,106年區域整合智慧化號誌交通控制應用服務委託專業服務案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52345637,"106/11/27
","106/12/14
","
													
													
													
														
														
														15,000,000
																											
														
													
																									
												"
52,科技部中部科學工業園區管理局,中科自主智慧防災水情系統第二期建置計畫,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52337375,"106/11/20
","106/12/19
","
													
													
													
														
														
														14,000,000
																											
														
													
																									
												"
