分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
智慧,新竹縣關西鎮錦山國民小學,新竹縣關西鎮錦山國民小學106年辦理「國中小智慧學習試辦計畫」財物採購案,1,106/12/11,106/12/18,"400,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364152
智慧,苗栗縣政府,106年健康吃聰明動，打造社區智慧熱點硬體採購案,1,106/12/08,106/12/19,"3,270,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363030
智慧,中華郵政股份有限公司,106年租賃智慧迎賓機器人服務2年,1,106/12/08,106/12/18,"990,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363577
智慧,高雄市政府交通局,107年度智慧運輸中心交控系統操作與維護服務,1,106/12/07,106/12/18,"8,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52358461
智慧,經濟部標準檢驗局,智慧電網驗證與應用技術研究暨再生能源第三方驗證推動辦公室計畫,1,106/12/07,106/12/25,"19,500,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52359899
智慧,宜蘭縣政府,106年宜蘭縣智慧學習示範點建置案,1,106/12/07,106/12/18,"3,320,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52341658
智慧,國家運動訓練中心,106年度公西射擊基地購置槍枝彈藥庫智慧型倉儲系統設備1批案,1,106/12/06,106/12/18,"5,911,450",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357543
智慧,桃園市龍潭區雙龍國民小學,智慧學校數位學堂推動計畫,1,106/12/06,106/12/19,"1,650,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357820
智慧,台灣中油股份有限公司,新化開關站至台南配氣站16吋環線智慧型通管器(IP)檢測工作,1,106/12/04,106/12/21,"16,705,868",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52354596
智慧,科技部,106-107年度「運用ICT技術發展智慧園區推動計畫」,1,106/11/30,106/12/25,"28,666,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52350541
智慧,衛生福利部中央健康保險署,107年度健保大數據智慧分析平台建置案,1,106/11/21,106/12/19,"9,975,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52337069
智慧,台灣中油股份有限公司,通霄中繼站至台中供油8吋和12吋油管磁通漏智慧型通管器(IP)檢測,1,106/11/07,106/12/18,"19,690,980",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52323462
大數據,衛生福利部中央健康保險署,107年度健保大數據智慧分析平台建置案,1,106/11/21,106/12/19,"9,975,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52337069
物聯網,行政院環境保護署,水質感測物聯網研發、實場布建及展示分析應用,1,106/12/15,107/01/15,"73,100,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52316148
物聯網,經濟部水利署,水資源物聯網感測基礎雲端作業網絡—水資源物聯網感測基礎雲端作業平臺建置計畫,1,106/12/13,106/12/27,"38,750,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52341195
物聯網,經濟部水利署,水資源物聯網感測基礎雲端作業網絡—水資源物聯網作業管理與規範制定計畫,1,106/12/12,106/12/20,"8,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52331345
物聯網,經濟部水利署水利規劃試驗所,水資源物聯網專案管理(1/3),3,106/12/14,106/12/19,"3,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369940
物聯網,經濟部加工出口區管理處,107至108年次世代環境智能系統技術研發與應用推動計畫-物聯網智慧應用創新服務,1,106/12/13,107/01/02,"6,766,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368216
雲端,國立高雄第一科技大學,107年第eSpace雲端儲存空間系統維護採購案,3,106/12/15,106/12/18,"280,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52373375
雲端,新北市政府採購處,新北市政府雲端證件包系統改版擴充及維運委外服務,1,106/12/15,106/12/21,"8,272,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52371768
雲端,桃園市桃園區公所,桃園市桃園區龍岡社區活動中心關懷據點雜項設備購置-社區型多功能健康檢測機(含雲端管理),1,106/12/14,106/12/20,"280,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372292
雲端,國家發展委員會,「行政院及所屬委員會雲端資料中心儲存設備及網頁應用程式防火牆設備採購案」,2,106/12/14,106/12/18,"18,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370069
雲端,經濟部水利署,水資源物聯網感測基礎雲端作業網絡—水資源物聯網感測基礎雲端作業平臺建置計畫,1,106/12/13,106/12/27,"38,750,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52341195
雲端,嘉藥學校財團法人嘉南藥理大學,網路大學雲端教學平台,1,106/12/12,106/12/18,"810,962",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368446
雲端,苗栗縣立大同高級中學,數位雲端課程備份上傳教材平台與雲端數位教材伺服器,1,106/12/12,106/12/19,"260,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367971
雲端,臺南市立圖書館,107年台灣雲端書庫採購案,1,106/12/11,106/12/19,"216,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52360266
雲端,教育部國民及學前教育署,教育部國民及學前教育署雲端儲存平臺建置案,1,106/12/15,106/12/20,"1,400,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52359709
雲端,行政院原子能委員會核能研究所,107年度雲端軟體共用服務平台維護案,1,106/12/15,106/12/21,"300,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372445
雲端,國防醫學院,雲端主機平台暨資安網管虛擬化軟體授權案,1,106/12/14,106/12/27,"2,500,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368888
雲端,新北市立瑞芳高級工業職業學校,本校教務處POS暨雲端教室整修工程採購案,2,106/12/13,106/12/18,"708,819",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370517
雲端,國立臺南高級工業職業學校,程控電腦及雲端管理系統等,3,106/12/13,106/12/19,"2,754,480",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368184
雲端,苗栗縣立大同高級中學,雲端社群播客系統,1,106/12/12,106/12/19,"400,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367839
雲端,經濟部水利署,水資源物聯網感測基礎雲端作業網絡—水資源物聯網作業管理與規範制定計畫,1,106/12/12,106/12/20,"8,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52331345
雲端,連江縣政府,連江縣教育網路中心及各國中小校園雲端環境無線網路建置,1,106/12/05,106/12/15,"1,759,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52356982
